id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type,commence_time
75,nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-22T17:58:45.810257,betmgm,-145,125,open,2026-09-27T17:00:00Z
76,nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-22T17:58:45.810257,pinnacle,-150,132,open,2026-09-27T17:00:00Z
77,nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-22T17:58:45.810257,draftkings,-185,154,open,2026-09-27T17:00:00Z
78,nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-22T17:58:45.810257,fanduel,-190,160,open,2026-09-27T17:00:00Z
79,nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-22T17:58:45.810257,betmgm,-190,155,open,2026-09-27T17:00:00Z
80,nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-22T17:58:45.810257,pinnacle,-187,163,open,2026-09-27T17:00:00Z
81,nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-22T17:58:45.810257,draftkings,245,-305,open,2026-09-27T17:00:00Z
82,nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-22T17:58:45.810257,fanduel,270,-335,open,2026-09-27T17:00:00Z
83,nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-22T17:58:45.810257,betmgm,260,-325,open,2026-09-27T17:00:00Z
84,nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-22T17:58:45.810257,pinnacle,246,-293,open,2026-09-27T17:00:00Z
85,nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-22T17:58:45.810257,draftkings,-142,120,open,2026-09-27T17:00:00Z
86,nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-22T17:58:45.810257,fanduel,-154,130,open,2026-09-27T17:00:00Z
87,nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-22T17:58:45.810257,betmgm,-155,130,open,2026-09-27T17:00:00Z
88,nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-22T17:58:45.810257,pinnacle,-151,133,open,2026-09-27T17:00:00Z
89,nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-22T17:58:45.810257,draftkings,140,-166,open,2026-09-27T17:00:00Z
90,nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-22T17:58:45.810257,fanduel,134,-158,open,2026-09-27T17:00:00Z
91,nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-22T17:58:45.810257,betmgm,138,-165,open,2026-09-27T17:00:00Z
92,nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-22T17:58:45.810257,pinnacle,141,-160,open,2026-09-27T17:00:00Z
93,nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-22T17:58:45.810257,draftkings,-850,575,open,2026-09-27T17:00:00Z
94,nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-22T17:58:45.810257,fanduel,-770,540,open,2026-09-27T17:00:00Z
95,nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-22T17:58:45.810257,betmgm,-750,550,open,2026-09-27T17:00:00Z
96,nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-22T17:58:45.810257,pinnacle,-663,490,open,2026-09-27T17:00:00Z
97,nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-22T17:58:45.810257,draftkings,130,-155,open,2026-09-27T17:00:00Z
98,nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-22T17:58:45.810257,fanduel,134,-158,open,2026-09-27T17:00:00Z
