season,week,game_id,home_team,away_team,kickoff_utc,snapshot_utc,slot,markets
2023,6,2023_06_DEN_KC,KC,DEN,2023-10-13 00:15:00+00:00,2023-10-12 23:15:00+00:00,2023-10-12 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_BAL_TEN,TEN,BAL,2023-10-15 13:30:00+00:00,2023-10-15 12:30:00+00:00,2023-10-15 12:30:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_WAS_ATL,ATL,WAS,2023-10-15 17:00:00+00:00,2023-10-15 16:00:00+00:00,2023-10-15 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_MIN_CHI,CHI,MIN,2023-10-15 17:00:00+00:00,2023-10-15 16:00:00+00:00,2023-10-15 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_SEA_CIN,CIN,SEA,2023-10-15 17:00:00+00:00,2023-10-15 16:00:00+00:00,2023-10-15 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_SF_CLE,CLE,SF,2023-10-15 17:00:00+00:00,2023-10-15 16:00:00+00:00,2023-10-15 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_NO_HOU,HOU,NO,2023-10-15 17:00:00+00:00,2023-10-15 16:00:00+00:00,2023-10-15 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_IND_JAX,JAX,IND,2023-10-15 17:00:00+00:00,2023-10-15 16:00:00+00:00,2023-10-15 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_CAR_MIA,MIA,CAR,2023-10-15 17:00:00+00:00,2023-10-15 16:00:00+00:00,2023-10-15 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_NE_LV,LV,NE,2023-10-15 20:05:00+00:00,2023-10-15 19:05:00+00:00,2023-10-15 19:05:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_DET_TB,TB,DET,2023-10-15 20:25:00+00:00,2023-10-15 19:25:00+00:00,2023-10-15 19:25:00+00:00,"player_receptions,player_reception_yds"
